Date,Pred_Close_future10,Pred_Close_future5,Pred_Close_future2,Pred_Close_future1,Dummy,High,Low,Open,Close,Volume,Adj Close,Pred_Close_future1_offset,Pred_Close_future1_offset_dif,Pred_Close_future2_offset,Pred_Close_future2_offset_dif,Pred_Close_future5_offset,Pred_Close_future5_offset_dif,Pred_Close_future10_offset,Pred_Close_future10_offset_dif
2020-09-01,,,,,,23206.66015625,23047.76953125,23089.630859375,23138.0703125,59600000.0,23138.0703125,,,,,,,,
2020-09-02,,,,,,23287.400390625,23170.8203125,23261.08984375,23247.150390625,52600000.0,23247.150390625,,,,,,,,
2020-09-03,,,,,,23580.509765625,23426.109375,23524.490234375,23465.529296875,57500000.0,23465.529296875,,,,,,,,
2020-09-04,,,,,,23257.689453125,23098.76953125,23130.3203125,23205.4296875,59300000.0,23205.4296875,,,,,,,,
2020-09-07,,,,,,23218.220703125,23086.890625,23145.470703125,23089.94921875,57300000.0,23089.94921875,,,,,,,,
2020-09-08,,,,,,23277.66015625,23129.66015625,23188.7890625,23274.130859375,62100000.0,23274.130859375,,,,,,,,
2020-09-09,,,,,,23059.01953125,22878.7109375,22966.890625,23032.5390625,84400000.0,23032.5390625,23086.719545482658,54.18048298265785,22926.536982858088,-106.00207964191213,23064.57888872549,32.03982622548938,23262.821480285376,230.2824177853763
2020-09-10,,,,23086.719545482658,,23250.310546875,23134.01953125,23193.470703125,23235.470703125,67600000.0,23235.470703125,23314.509031938855,79.0383288138546,23189.348495570128,-46.12220755487215,23347.226719725877,111.75601660087705,23544.386399542913,308.91569641791284
2020-09-11,,,22926.536982858088,23314.509031938855,,23412.9296875,23114.630859375,23114.630859375,23406.490234375,76900000.0,23406.490234375,23460.524910937296,54.03467656229623,23307.905126382713,-98.5851079922868,23433.67493976734,27.18470539234113,23624.782899904298,218.29266552929766
2020-09-14,,,23189.348495570128,23460.524910937296,,23582.2109375,23429.419921875,23431.16015625,23559.30078125,65400000.0,23559.30078125,23622.83434869256,63.533567442558706,23511.980297118425,-47.32048413157463,23648.735241685063,89.43446043506265,23767.260250886902,207.9594696369022
2020-09-15,,,23307.905126382713,23622.83434869256,,23477.859375,23351.349609375,23438.830078125,23454.890625,61800000.0,23454.890625,23478.758753883187,23.868128883186728,23340.655742972158,-114.2348820278421,23457.690839955118,2.8002149551175535,23564.56357239373,109.67294739373028
2020-09-16,,23064.57888872549,23511.980297118425,23478.758753883187,,23506.44921875,23397.4296875,23425.23046875,23475.529296875,63000000.0,23475.529296875,23552.92574875406,77.3964518790599,23433.90556499944,-41.623731875559315,23576.589396179188,101.06009930418804,23722.57487355848,247.04557668347843
2020-09-17,,23347.226719725877,23340.655742972158,23552.92574875406,,23446.390625,23272.23046875,23416.619140625,23319.369140625,61100000.0,23319.369140625,23396.73871414736,77.36957352235913,23278.231875053607,-41.13726557139307,23415.60436812695,96.23522750195116,23534.13317276165,214.7640321366489
2020-09-18,,23433.67493976734,23433.90556499944,23396.73871414736,,23398.4609375,23290.189453125,23321.189453125,23360.30078125,82600000.0,23360.30078125,23431.074368251953,70.77358700195327,23307.590171658667,-52.710609591333196,23448.857023242395,88.55624199239537,23610.355107232695,250.05432598269545
2020-09-23,,23648.735241685063,23278.231875053607,23431.074368251953,,23370.130859375,23154.44921875,23245.890625,23346.490234375,77000000.0,23346.490234375,23427.04616136034,80.5559269853402,23296.314985972713,-50.17524840228725,23462.189625508618,115.69939113361761,23656.889160350896,310.3989259758964
2020-09-24,,23457.690839955118,23307.590171658667,23427.04616136034,,23234.720703125,23039.48046875,23215.0,23087.8203125,70500000.0,23087.8203125,23213.184184952872,125.36387245287187,23057.335596134188,-30.484716365812346,23246.650122103514,158.82980960351415,23515.748161212774,427.927848712774
2020-09-25,23262.821480285376,23576.589396179188,23296.314985972713,23213.184184952872,,23272.669921875,23154.66015625,23217.330078125,23204.619140625,72200000.0,23204.619140625,23317.837090758607,113.21795013360679,23183.135026870295,-21.484113754704595,23353.875261247158,149.25612062215805,23588.088418912143,383.4692782871425
2020-09-28,23544.386399542913,23415.60436812695,23057.335596134188,23317.837090758607,,23516.0390625,23303.029296875,23391.9609375,23511.619140625,82000000.0,23511.619140625,23575.637280703522,64.01814007852226,23451.791010706336,-59.82812991866376,23602.5840484628,90.96490783779882,23783.711439643987,272.0922990189865
2020-09-29,23624.782899904298,23448.857023242395,23183.135026870295,23575.637280703522,,23622.740234375,23347.640625,23410.5,23539.099609375,61300000.0,23539.099609375,23595.631374576828,56.53176520182751,23457.940869441256,-81.15873993374407,23576.26113291434,37.16152353934012,23711.752748676343,172.6531393013429
2020-09-30,23767.260250886902,23462.189625508618,23451.791010706336,23595.631374576828,,23522.380859375,23170.890625,23478.849609375,23185.119140625,88200000.0,23185.119140625,23313.40951815783,128.29037753283046,23171.368409335148,-13.75073128985241,23340.120982693275,155.00184206827544,23544.203867828008,359.0847272030078
2020-10-02,23564.56357239373,23246.650122103514,23457.940869441256,23313.40951815783,,23365.580078125,22951.41015625,23294.80078125,23029.900390625,86300000.0,23029.900390625,23165.68215697212,135.78176634712145,23035.245741560357,5.3453509353566915,23219.502102802508,189.60171217750758,23453.528972436674,423.62858181167394
2020-10-05,23722.57487355848,23353.875261247158,23171.368409335148,23165.68215697212,,23377.4296875,23252.689453125,23254.279296875,23312.140625,59500000.0,23312.140625,23365.588935065083,53.448310065083206,23253.981121052057,-58.15950394794345,23383.148498415016,71.00787341501564,23533.85248756688,221.71186256688088
2020-10-06,23534.13317276165,23602.5840484628,23035.245741560357,23365.588935065083,,23441.16015625,23331.400390625,23420.0703125,23433.73046875,57700000.0,23433.73046875,23481.358703695005,47.628234945004806,23358.55574733694,-75.17472141305916,23495.225695185363,61.49522643536329,23634.880379482638,201.1499107326381
2020-10-07,23610.355107232695,23576.26113291434,23253.981121052057,23481.358703695005,,23432.73046875,23272.44921875,23272.44921875,23422.8203125,52100000.0,23422.8203125,23523.113437425578,100.29312492557801,23382.77707048948,-40.04324201052077,23531.35367946257,108.53336696256883,23728.38795665931,305.56764415930957
2020-10-08,23656.889160350896,23340.120982693275,23358.55574733694,23523.113437425578,,23701.76953125,23477.73046875,23506.33984375,23647.0703125,56300000.0,23647.0703125,23729.60994800087,82.53963550087065,23611.650790739106,-35.419521760893986,23768.600420445437,121.53010794543661,23938.996782354312,291.926469854312
2020-10-09,23515.748161212774,23219.502102802508,23382.77707048948,23729.60994800087,,23725.580078125,23552.73046875,23713.859375,23619.689453125,56100000.0,23619.689453125,23642.881499699084,23.192046574084088,23503.891422758577,-115.79803036642261,23618.62291106349,-1.0665420615114272,23718.338230739348,98.64877761434764
2020-10-12,23588.088418912143,23383.148498415016,23611.650790739106,23642.881499699084,,23597.91015625,23501.259765625,23588.740234375,23558.689453125,44900000.0,23558.689453125,23566.2154861819,7.526033056899905,23430.335744282696,-128.3537088423036,23530.82207218092,-27.86738094408065,23615.67347200471,56.984018879709765
