Date,Pred_Close_future10,Dummy,High,Low,Open,Close,Volume,Adj Close,Pred_Close_future10_offset
2020-09-01,,,23206.66015625,23047.76953125,23089.630859375,23138.0703125,59600000.0,23138.0703125,23893.710212992504
2020-09-02,,,23287.400390625,23170.8203125,23261.08984375,23247.150390625,52600000.0,23247.150390625,23859.125789458863
2020-09-03,,,23580.509765625,23426.109375,23524.490234375,23465.529296875,57500000.0,23465.529296875,23937.04371479526
2020-09-04,,,23257.689453125,23098.76953125,23130.3203125,23205.4296875,59300000.0,23205.4296875,23936.41413369216
2020-09-07,,,23218.220703125,23086.890625,23145.470703125,23089.94921875,57300000.0,23089.94921875,23875.941504873335
2020-09-08,,,23277.66015625,23129.66015625,23188.7890625,23274.130859375,62100000.0,23274.130859375,23950.48556856811
2020-09-09,,,23059.01953125,22878.7109375,22966.890625,23032.5390625,84400000.0,23032.5390625,23875.414528124966
2020-09-10,,,23250.310546875,23134.01953125,23193.470703125,23235.470703125,67600000.0,23235.470703125,23899.857838430675
2020-09-11,,,23412.9296875,23114.630859375,23114.630859375,23406.490234375,76900000.0,23406.490234375,23976.241265051067
2020-09-14,,,23582.2109375,23429.419921875,23431.16015625,23559.30078125,65400000.0,23559.30078125,23914.408750305418
2020-09-15,,,23477.859375,23351.349609375,23438.830078125,23454.890625,61800000.0,23454.890625,23782.550263842568
2020-09-16,,,23506.44921875,23397.4296875,23425.23046875,23475.529296875,63000000.0,23475.529296875,23702.400988169713
2020-09-17,,,23446.390625,23272.23046875,23416.619140625,23319.369140625,61100000.0,23319.369140625,23604.863374083303
2020-09-18,,,23398.4609375,23290.189453125,23321.189453125,23360.30078125,82600000.0,23360.30078125,23864.56600206718
2020-09-23,,,23370.130859375,23154.44921875,23245.890625,23346.490234375,77000000.0,23346.490234375,24125.01475951099
2020-09-24,,,23234.720703125,23039.48046875,23215.0,23087.8203125,70500000.0,23087.8203125,24182.499454974197
2020-09-25,,,23272.669921875,23154.66015625,23217.330078125,23204.619140625,72200000.0,23204.619140625,24581.68635980459
2020-09-28,,,23516.0390625,23303.029296875,23391.9609375,23511.619140625,82000000.0,23511.619140625,25023.512963780668
2020-09-29,,,23622.740234375,23347.640625,23410.5,23539.099609375,61300000.0,23539.099609375,25243.30455128709
2020-09-30,,,23522.380859375,23170.890625,23478.849609375,23185.119140625,88200000.0,23185.119140625,25160.139168470632
2020-10-02,,,23365.580078125,22951.41015625,23294.80078125,23029.900390625,86300000.0,23029.900390625,25169.40371505241
2020-10-05,,,23377.4296875,23252.689453125,23254.279296875,23312.140625,59500000.0,23312.140625,25535.820920389146
2020-10-06,,,23441.16015625,23331.400390625,23420.0703125,23433.73046875,57700000.0,23433.73046875,25753.33961363416
2020-10-07,,,23432.73046875,23272.44921875,23272.44921875,23422.8203125,52100000.0,23422.8203125,25771.76234157197
2020-10-08,,,23701.76953125,23477.73046875,23506.33984375,23647.0703125,56300000.0,23647.0703125,25719.15393692907
2020-10-09,,,23725.580078125,23552.73046875,23713.859375,23619.689453125,56100000.0,23619.689453125,25526.56238457188
2020-10-12,,,23597.91015625,23501.259765625,23588.740234375,23558.689453125,44900000.0,23558.689453125,25732.860150229884
