,0
0,990897.0
1,1082220.0
2,1013977.0
3,1000000.0
4,1000000.0
5,1000000.0
6,1075251.0
7,1000000.0
8,1083787.0
9,1000000.0
10,1000000.0
11,1000000.0
12,1000000.0
13,1000000.0
14,1000000.0
15,1075251.0
16,1013806.0
17,1083787.0
18,1013806.0
19,1000000.0
20,1000000.0
21,1000000.0
22,1000000.0
23,1000000.0
24,1075251.0
25,1002790.0
26,1083787.0
27,1002530.0
28,1000000.0
29,1000000.0
30,1000000.0
31,1000000.0
32,1000000.0
33,1075251.0
34,1046973.0
35,1083787.0
36,1048527.0
37,1000000.0
38,1000000.0
39,1000000.0
40,1000000.0
41,1000000.0
42,1075251.0
43,985292.0
44,1083787.0
45,1046956.0
46,1000000.0
47,1000000.0
48,1000000.0
49,1000000.0
50,1000000.0
51,1075251.0
52,991614.0
53,1083787.0
54,1043307.0
55,1000000.0
56,1000000.0
57,1000000.0
58,1000000.0
59,1000000.0
60,1075251.0
61,956360.0
62,1083787.0
63,1034280.0
64,1000000.0
65,1000000.0
66,1051571.0
67,1020047.0
68,1000000.0
69,1000000.0
70,1000000.0
71,1075251.0
72,1000000.0
73,1083787.0
74,1000000.0
75,1000000.0
76,1000000.0
77,1000000.0
78,1000000.0
79,1000000.0
80,1075251.0
81,1013806.0
82,1083787.0
83,1013806.0
84,1000000.0
85,1000000.0
86,1000000.0
87,1000000.0
88,1000000.0
89,1075251.0
90,1002790.0
91,1083787.0
92,1002530.0
93,1000000.0
94,1000000.0
95,1000000.0
96,1000000.0
97,1000000.0
98,1075251.0
99,1046973.0
100,1083787.0
101,1048527.0
102,1000000.0
103,1000000.0
104,1000000.0
105,1000000.0
106,1000000.0
107,1075251.0
108,985292.0
109,1083787.0
110,1046956.0
111,1000000.0
112,1000000.0
113,1000000.0
114,1000000.0
115,1000000.0
116,1075251.0
117,991614.0
118,1083787.0
119,1043307.0
120,1000000.0
121,1000000.0
122,1000000.0
123,1000000.0
124,1000000.0
125,1075251.0
126,956360.0
127,1083787.0
128,1034280.0
129,1000000.0
130,1000000.0
131,1019895.0
132,1013977.0
133,1000000.0
134,1000000.0
135,1000000.0
136,1075251.0
137,1000000.0
138,1083787.0
139,1000000.0
140,1000000.0
141,1000000.0
142,1000000.0
143,1000000.0
144,1000000.0
145,1075251.0
146,1013806.0
147,1083787.0
148,1013806.0
149,1000000.0
150,1000000.0
151,1000000.0
152,1000000.0
153,1000000.0
154,1075251.0
155,1002790.0
156,1083787.0
157,1002530.0
158,1000000.0
159,1000000.0
160,1000000.0
161,1000000.0
162,1000000.0
163,1075251.0
164,1046973.0
165,1083787.0
166,1048527.0
167,1000000.0
168,1000000.0
169,1000000.0
170,1000000.0
171,1000000.0
172,1075251.0
173,985292.0
174,1083787.0
175,1046956.0
176,1000000.0
177,1000000.0
178,1000000.0
179,1000000.0
180,1000000.0
181,1075251.0
182,991614.0
183,1083787.0
184,1043307.0
185,1000000.0
186,1000000.0
187,1000000.0
188,1000000.0
189,1000000.0
190,1075251.0
191,956360.0
192,1083787.0
193,1034280.0
194,1000000.0
195,1000000.0
196,1019640.0
197,1082220.0
198,968328.0
199,1000000.0
200,1000000.0
