Date,y,Pred_Close_90,Pred_Close_60,Pred_Close_20,Pred_Close_5,Pred_Close_1,High,Low,Open,Close,Pred_Close_1_offset,Pred_Close_5_offset,Pred_Close_20_offset,Pred_Close_60_offset,Pred_Close_90_offset,Pred_Close_90,Pred_Close_60,Pred_Close_20,Pred_Close_5,Pred_Close_1,High,Low,Open,Close,Pred_Close_1_offset,Pred_Close_5_offset,Pred_Close_20_offset,Pred_Close_60_offset,Pred_Close_90_offset
2020-06-01 00:00:00,,,,,,,22161.390625,21898.990234375,21910.890625,22062.390625,22349.930477218702,22137.517772221938,21578.31300076656,22367.488637024537,22829.634341752157,,,,,,22161.390625,21898.990234375,21910.890625,22062.390625,22349.930477218702,22137.517772221938,21578.31300076656,22367.488637024537,22829.634341752157
2020-06-02 00:00:00,,,,,,,22401.7890625,22118.400390625,22175.51953125,22325.609375,22789.438996823505,22543.329502169043,21848.106707760133,22630.283417467028,23097.410538710654,,,,,,22401.7890625,22118.400390625,22175.51953125,22325.609375,22789.438996823505,22543.329502169043,21848.106707760133,22630.283417467028,23097.410538710654
2020-06-03 00:00:00,,,,,,,22818.869140625,22462.6796875,22649.009765625,22613.759765625,22625.157482181676,22390.024314910406,21885.846538687474,22839.112678481033,23380.223854818614,,,,,,22818.869140625,22462.6796875,22649.009765625,22613.759765625,22625.157482181676,22390.024314910406,21885.846538687474,22839.112678481033,23380.223854818614
2020-06-04 00:00:00,,,,,,,22907.919921875,22501.810546875,22885.140625,22695.740234375,22974.492336791474,22711.210529644508,22066.217178583844,22953.259234784637,23469.452502494445,,,,,,22907.919921875,22501.810546875,22885.140625,22695.740234375,22974.492336791474,22711.210529644508,22066.217178583844,22953.259234784637,23469.452502494445
2020-06-05 00:00:00,,,,,,,22865.880859375,22563.560546875,22613.080078125,22863.73046875,22884.466598201543,22692.683293680893,22184.626317565562,23112.157912377734,23642.308351339307,,,,,,22865.880859375,22563.560546875,22613.080078125,22863.73046875,22884.466598201543,22692.683293680893,22184.626317565562,23112.157912377734,23642.308351339307
2020-06-08 00:00:00,,,,,,,23178.099609375,23028.619140625,23121.98046875,23178.099609375,22780.21010778565,22573.631064242916,22203.010051662102,23328.420297998004,23948.187822118867,,,,,,23178.099609375,23028.619140625,23121.98046875,23178.099609375,22780.21010778565,22573.631064242916,22203.010051662102,23328.420297998004,23948.187822118867
2020-06-09 00:00:00,,,,,,,23185.849609375,22933.140625,23135.7890625,23091.029296875,22752.1899743916,22522.992059388896,22126.38392873865,23243.281961612636,23859.22107886523,,,,,,23185.849609375,22933.140625,23135.7890625,23091.029296875,22752.1899743916,22522.992059388896,22126.38392873865,23243.281961612636,23859.22107886523
2020-06-10 00:00:00,,,,,,,23175.8203125,22900.30078125,22939.0,23124.94921875,22949.878915067296,22726.512452136492,22251.499829385895,23308.496401892044,23898.294242648408,,,,,,23175.8203125,22900.30078125,22939.0,23124.94921875,22949.878915067296,22726.512452136492,22251.499829385895,23308.496401892044,23898.294242648408
2020-06-11 00:00:00,,,,,,,22939.390625,22466.5390625,22848.01953125,22472.91015625,22719.845105845015,22435.226288948907,21852.85227842396,22733.990118417423,23243.065906122793,,,,,,22939.390625,22466.5390625,22848.01953125,22472.91015625,22719.845105845015,22435.226288948907,21852.85227842396,22733.990118417423,23243.065906122793
2020-06-12 00:00:00,,,,,,,22350.30078125,21786.9296875,22082.119140625,22305.48046875,22762.20446243696,22517.98406745214,21889.20017656032,22639.937382736243,23088.53275081655,,,,,,22350.30078125,21786.9296875,22082.119140625,22305.48046875,22762.20446243696,22517.98406745214,21889.20017656032,22639.937382736243,23088.53275081655
