,Date,High,Low,Open,Close,SMA01,EMA01,RSI01
0,2003-12-01,111.37063920497894,110.48206180334093,111.31434708833694,110.67637711763382,110.67637711763382,110.67637711763382,50.0
1,2003-12-02,112.00853198766708,110.50053179264069,110.63931584358215,111.82301610708237,110.94610107938449,111.00398825747627,50.0
2,2003-12-03,112.20281422138214,111.712284386158,111.83247715234756,112.13752418756484,111.21582504113515,111.32785566607299,50.0
3,2003-12-04,112.33225852251051,111.40685141086578,112.11034297943117,111.7487171292305,111.48554900288582,111.44810179840371,50.0
4,2003-12-05,112.76637494564056,111.60983383655548,111.72172337770462,112.72925853729248,111.75527296463648,111.81414658094337,50.0
5,2003-12-08,113.22048306465148,112.42510467767715,112.55369991064072,113.03508847951888,112.02499692638715,112.16298712339352,50.0
6,2003-12-09,113.5624149441719,112.83102542161942,113.0447480082512,113.3120170235634,112.46427024404208,112.49128138058492,88.60890353427703
7,2003-12-10,113.46073627471924,112.49894052743912,113.30369174480438,112.76637494564056,112.62149671713512,112.56987954202938,66.77227225853504
8,2003-12-11,113.1733763217926,112.13752418756484,112.76637494564056,113.0723923444748,112.7773080766201,112.71345462844235,66.67164830670156
9,2003-12-12,113.83074253797533,112.97020643949509,113.1000366806984,113.58054310083388,113.08261240522067,112.9611941919828,81.33350937417441
10,2003-12-15,114.00611370801926,112.6468989253044,112.72925853729248,113.95976781845091,113.28769728541374,113.24650094240226,76.49911188366104
11,2003-12-16,114.3203130364418,113.82093966007233,113.90503048896792,113.97801727056503,113.44485208392143,113.45550560759163,73.17674736282905
12,2003-12-17,114.8854285478592,113.77473711967468,113.95976781845091,114.71872448921204,113.67930332819621,113.8164252880546,78.15676909290713
13,2003-12-18,115.0883999466896,114.38534945249556,114.71872448921204,114.9125435948372,114.03699810306232,114.12960194713534,100.0
14,2003-12-19,115.023992061615,114.2468962073326,114.90397572517396,114.56100732088088,114.28510059912999,114.25286062534835,83.96047474579659
15,2003-12-22,115.1256376504898,114.30195331573486,114.30195331573486,114.69027519226074,114.47005594770114,114.37783621589475,80.60815455081763
16,2003-12-23,117.21620887517928,114.58940148353577,114.69027519226074,114.7002324461937,114.59346671899159,114.46994942455159,75.64757736171826
17,2003-12-24,115.36542773246764,114.7002324461937,114.70876723527908,115.19015580415726,114.79548980792363,114.67572267586749,81.64503759658139
18,2003-12-25,115.34815967082976,115.09842336177826,115.22745966911316,115.14427304267883,114.86641456683476,114.80959420924216,67.43498924769963
19,2003-12-26,115.35679370164873,114.94967103004456,115.16290843486786,114.995399415493,114.8802238702774,114.86268141102812,53.52445636878603
20,2003-12-29,115.69875866174698,114.9768191576004,115.0139907002449,115.47632485628128,115.03277679284413,115.03800810967186,85.07419801913201
21,2003-12-30,116.2074938416481,115.46767979860306,115.49507051706314,116.07769668102264,115.26401370763779,115.33506198720065,89.03975277077866
22,2003-12-31,117.00270682573318,115.90316355228424,116.08790755271912,116.45767122507095,115.556920170784,115.65580748373503,90.92870129736671
23,2004-01-01,116.62359237670898,115.38412928581238,116.45767122507095,116.38294219970705,115.75571790337563,115.86356025972704,84.43861469987087
24,2004-01-02,116.80915236473083,115.87412983179092,116.38294219970705,116.38294219970705,115.96216276288033,116.01195509972133,86.73669614358235
25,2004-01-05,117.42006242275238,116.89182072877884,116.91101849079132,117.35451877117156,116.35534932216008,116.39554472013569,97.02105961836914
26,2004-01-06,118.47430735826492,117.21620887517928,117.37387090921402,117.66951203346252,116.72088051835696,116.75953538108621,96.81005794331874
27,2004-01-07,117.84490525722504,116.7811331152916,117.696450650692,116.9287607073784,116.86272452274959,116.80788547431254,67.14455171065725
28,2004-01-08,118.2804000377655,116.22647106647491,116.9287607073784,118.16857665777206,117.14787542819977,117.19665438387241,75.59805454917455
29,2004-01-09,119.0200486779213,117.5947168469429,118.16857665777206,118.94505500793456,117.57489422957103,117.69619741931874,81.6809651328313
30,2004-01-12,119.29788142442705,117.82689839601515,118.84419232606888,117.85390317440032,117.82005439201991,117.7412562064849,64.3235407808271
31,2004-01-13,118.3727279305458,117.65004962682724,117.88245171308516,118.2698142528534,117.97260363896687,117.89227279116162,59.99426876137838
32,2004-01-14,118.28947514295578,114.755719602108,118.28947514295578,117.0219486951828,117.86467641592026,117.64360876373911,44.12584922419516
33,2004-01-15,117.20729917287828,116.26299202442168,117.06786453723907,116.55893087387084,117.80303811033566,117.33370079520532,46.46720639755935
34,2004-01-16,116.6427019238472,114.36696767807008,116.55012041330338,114.68174040317535,117.22189873456955,116.5759978260539,20.307690574159174
35,2004-01-19,114.922533929348,114.1453829407692,114.57946628332138,114.27512496709824,116.44357706109683,115.918605580638,7.559611256641804
36,2004-01-20,116.5692189335823,114.23702716827393,114.2468962073326,116.44887179136276,116.2094051639239,116.07011021227365,39.330518707326476
