,Date,High,Low,Open,Close,SMA05,SMA10,SMA25,GC
0,2003-01-23,100.41690048217774,99.95079734802246,100.31420265197754,100.2351978302002,100.2351978302002,100.2351978302002,100.2351978302002,1.0
1,2003-01-24,100.93040168762208,100.1720024108887,100.25100120544434,100.71709831237791,100.43901827621461,100.39539240858291,100.29403972702028,1.0
2,2003-01-27,101.86260192871094,100.71709831237791,100.7960971069336,101.46760192871096,100.64283872222902,100.55558698696561,100.35288162384035,1.0
3,2003-01-28,101.6888009643555,101.13580337524417,101.48340530395508,101.49130096435547,100.84665916824342,100.71578156534832,100.41172352066042,1.0
4,2003-01-29,101.60979614257812,101.03309951782228,101.48340530395508,101.34119903564456,101.05047961425782,100.87597614373102,100.47056541748049,1.0
5,2003-01-30,101.80729614257812,100.89880096435547,101.30960433959964,101.73619903564452,101.35067985534668,101.03617072211372,100.52940731430054,1.0
6,2003-01-31,102.20229614257812,101.60190048217774,101.74409469604493,101.99690048217774,101.60664028930665,101.19636530049642,100.58824921112061,1.0
7,2003-02-03,102.54200241088868,101.6492985534668,102.0442985534668,102.52619903564457,101.81835971069337,101.35655987887914,100.64709110794068,1.0
8,2003-02-04,103.0396942138672,102.20229614257812,102.5103956604004,103.00809951782227,102.12171942138673,101.51675445726184,100.70593300476075,1.0
9,2003-02-05,103.06340530395508,101.9732014465332,103.0396942138672,102.2496942138672,102.30341845703126,101.67694903564454,100.76477490158082,1.0
10,2003-02-06,102.7632014465332,102.01270385742188,102.2654975891113,102.58150482177734,102.47247961425782,101.91157973480226,100.82361679840089,1.0
11,2003-02-07,102.90539566040042,102.02059951782228,102.60520385742188,102.85010192871094,102.64311990356445,102.12488009643556,100.88245869522096,1.0
12,2003-02-10,103.05549758911133,102.53409469604492,102.91330337524414,102.5657014465332,102.65102038574219,102.23469004821779,100.94130059204102,1.0
13,2003-02-11,102.9528057861328,102.35239807128907,102.59729614257812,102.7,102.58940048217774,102.35555995178223,101.00014248886109,1.0
14,2003-02-12,102.87380096435548,102.2417985534668,102.68419662475588,102.62099517822266,102.66366067504882,102.48353956604005,101.05898438568116,1.0
15,2003-02-13,103.31619903564452,102.47880096435549,102.65260192871094,103.07130096435549,102.76161990356445,102.61704975891114,101.11782628250123,1.0
16,2003-02-14,103.17400482177734,102.305,103.05549758911133,102.52619903564457,102.69683932495118,102.66997961425781,101.1766681793213,1.0
17,2003-02-17,102.55780578613282,101.3885971069336,102.54989807128906,101.8467985534668,102.55305874633791,102.60203956604005,101.23551007614137,1.0
18,2003-02-18,101.79940048217776,100.25100120544434,101.79940048217776,100.41690048217774,102.09643884277345,102.3429196624756,101.29435197296144,1.0
19,2003-02-19,100.96200241088869,100.2351978302002,100.4248021697998,100.7486990356445,101.72197961425782,102.19282014465333,101.3531938697815,1.0
20,2003-02-20,101.28590530395508,100.71709831237791,100.71709831237791,101.15159469604492,101.33803836059572,102.04982913208008,101.41203576660158,1.0
21,2003-02-21,101.6888009643555,100.7566007232666,101.13580337524417,100.96989807128908,101.0267781677246,101.8618087463379,101.47087766342163,1.0
22,2003-02-24,100.8276978302002,99.72959831237792,100.33,100.8276978302002,100.82295802307128,101.6880083847046,101.5297195602417,1.0
23,2003-02-25,100.8908992767334,99.55579734802248,100.81190048217772,99.7058992767334,100.68075778198241,101.38859831237794,101.58856145706177,1.0
24,2003-02-26,100.0060971069336,99.55579734802248,99.71380096435549,99.8323021697998,100.49747840881348,101.10972901153565,101.64740335388184,1.0
25,2003-02-27,100.14829734802248,99.59529975891114,99.85600120544431,99.91920265197754,100.251,100.79451918029785,101.63476354675294,1.0
26,2003-02-28,100.8592985534668,99.8401978302002,99.9033992767334,100.8198021697998,100.22098081970215,100.62387949371337,101.63887170104981,1.0
27,2003-03-03,101.27799758911137,100.3932014465332,100.74079734802248,101.27010192871094,100.3094616394043,100.56620983123779,101.63097170104982,1.0
