,0
0,113.04474800825122
1,113.30369174480438
2,112.76637494564058
3,113.1000366806984
4,112.72925853729248
5,113.90503048896792
6,113.95976781845093
7,114.71872448921204
8,114.90397572517395
9,114.30195331573486
10,114.69027519226074
11,114.70876723527908
12,115.22745966911317
13,115.16290843486786
14,115.0139907002449
15,115.49507051706314
16,116.0879075527191
17,116.45767122507095
18,116.38294219970703
19,116.91101849079132
20,117.373870909214
21,117.69645065069201
22,116.92876070737839
23,118.16857665777205
24,118.84419232606889
25,117.88245171308515
26,118.28947514295577
27,117.06786453723907
28,116.55012041330338
29,114.57946628332138
30,114.2468962073326
31,116.3741648197174
32,117.08712846040726
33,117.69645065069199
34,116.31855636835098
35,115.49507051706313
36,116.86523497104642
37,115.0798100233078
38,114.79274779558182
39,115.4028418660164
40,115.97583055496216
41,116.05003029108047
42,115.97583055496216
43,116.27322494983672
44,117.05897688865662
45,117.40961998701096
46,117.31730312108994
47,118.70540827512741
48,118.55782479047777
49,117.75189369916914
50,118.06751549243928
51,118.98330718278883
52,117.74289578199388
53,118.01179677248
54,115.63367813825607
55,116.2907686829567
56,117.28012055158617
57,115.63367813825607
58,115.14427304267883
59,115.9859973192215
60,115.16290843486786
61,112.86818593740465
62,112.79387593269348
63,112.89574205875395
64,114.37685877084732
65,114.94110316038132
66,114.94110316038132
67,113.14569890499118
68,114.23702716827393
69,112.9798549413681
70,113.48857909440994
71,113.40509474277496
72,113.1000366806984
73,114.57946628332138
74,113.5624149441719
75,114.20035183429718
76,114.20035183429718
77,112.2954398393631
78,112.27636337280272
79,112.05465734004974
80,112.53589153289796
81,112.6839491724968
82,113.88540267944336
83,114.38534945249556
84,112.06416249275208
85,111.16585940122604
86,112.20281422138214
87,112.51672685146332
88,111.73116236925124
89,111.84194922447205
90,111.67586266994476
91,110.39898544549942
92,110.50053179264069
93,110.88866621255876
94,111.18456095457076
95,110.88866621255876
96,109.59455400705338
97,109.21412736177444
98,110.28709590435028
99,109.15870636701584
100,109.7323676943779
101,110.36210060119627
102,109.5478332042694
103,110.62079071998596
104,110.94452828168866
105,110.40820389986038
106,111.97192281484604
107,112.47020453214644
108,111.72172337770462
109,110.02865940332411
110,109.57509160041808
111,109.8901069164276
112,110.14003068208694
113,109.18705642223358
114,110.02865940332411
115,111.22199714183807
116,110.48206180334091
117,111.03641510009766
118,110.62079071998596
119,111.00977420806883
120,110.98179906606674
121,111.93397939205171
122,112.01801508665082
123,113.52479130029678
124,113.22048306465146
125,112.84065186977385
126,113.27593713998795
127,113.02540689706804
128,113.02540689706801
129,113.94151836633681
130,113.99767816066743
131,113.42316776514053
132,111.41625732183456
133,111.97192281484604
134,110.70419788360596
135,111.53715580701828
136,112.53589153289796
137,111.04575484991074
138,111.304974257946
139,112.27636337280272
140,112.15655654668807
141,112.11984813213348
142,111.81355506181715
143,112.58109062910081
144,112.61809676885603
145,112.7292585372925
146,111.8784701824188
147,112.6921862363815
148,112.4989405274391
149,114.0525037050247
150,113.77473711967468
151,113.62659126520154
152,114.42213505506516
153,114.67179417610168
154,114.81127291917798
155,114.73721653223039
156,114.0806332230568
157,114.56100732088088
158,114.31184440851212
159,115.20881325006484
160,115.05118429660797
161,114.09892678260805
162,113.41482043266296
163,113.3870217204094
164,111.99902683496477
165,112.31317102909088
166,111.5829062461853
167,111.42564117908478
168,111.35187149047852
169,111.38808369636536
170,111.20328456163406
171,111.4901041984558
172,111.54523849487305
173,111.5277498960495
174,113.4969374537468
175,113.57218474149705
176,113.20107579231261
177,113.05304020643233
178,113.22048306465148
179,114.52413350343704
180,114.31184440851212
181,114.21868950128557
182,114.15384054183961
183,114.45045202970503
184,113.84895890951155
185,112.39641278982162
186,111.7487171292305
187,111.77707821130753
188,111.91636949777605
189,111.15784287452698
190,111.45383685827257
191,112.63729453086853
192,112.776001393795
193,112.61809676885603
194,111.5829062461853
195,111.62868976593019
196,111.91636949777603
197,112.76637494564056
198,113.2565188407898
199,113.61822187900545
200,113.45098853111267
201,113.41482043266296
202,112.45242923498157
203,112.7485004067421
204,112.61809676885603
205,112.59067296981812
206,114.0426567196846
207,113.46073627471922
208,113.5164329409599
209,113.64614188671112
210,113.83914500474931
211,113.95134329795835
212,114.12707835435867
213,115.02399206161502
214,114.71872448921205
215,113.69223415851592
216,113.9232689142227
217,113.6084520816803
218,113.79293143749236
219,114.811272919178
220,114.55250561237337
221,113.96959275007247
222,114.21868950128554
223,114.61638420820235
224,115.46767979860306
225,115.513816177845
226,115.73640435934067
227,116.3653764128685
228,116.74428135156633
229,117.75189369916917
230,118.49251270294192
231,118.076568543911
232,117.54838198423386
233,118.65972399711609
234,117.90950059890748
235,117.65004962682724
236,118.6034208536148
237,119.0752050280571
238,119.916510283947
239,119.41800802946092
240,119.32558089494704
241,119.17645364999774
242,119.39951598644257
243,120.15796542167662
244,119.66675192117692
245,119.88853514194489
246,120.60131132602692
247,119.7690150141716
248,120.48977464437482
249,120.63906729221343
250,121.17480725049973
251,121.92389488220215
252,122.6270005106926
253,122.76534348726273
254,122.68230020999907
255,123.00695300102235
256,123.46831679344176
257,122.68230020999908
258,124.41324144601822
259,123.90328228473663
260,124.25446569919588
261,123.45019966363908
262,123.04294466972352
263,122.3124372959137
264,123.21996986865996
265,123.09863030910492
266,123.9680540561676
267,122.59936720132828
268,123.12648415565491
269,123.89499008655548
270,123.66309523582458
271,123.86678338050842
272,125.00506401062012
273,125.13358205556871
274,126.00291758775712
275,125.75452655553819
276,125.85547745227814
277,126.07676446437837
278,125.62472939491272
279,124.59758847951888
280,122.8680807352066
281,122.83054530620576
282,121.93353235721588
283,120.95297992229462
284,121.30511164665222
285,121.30511164665222
286,122.6465180516243
287,122.21062630414964
288,121.17480725049973
289,120.70359647274016
290,120.41604906320572
291,120.26887357234956
292,119.89786386489868
293,120.63906729221344
294,120.61075031757356
295,119.9911841750145
296,120.98145127296448
297,120.64849525690082
298,120.47251760959625
299,120.71305751800536
300,120.72250753641129
301,120.5730164051056
302,119.98183339834212
303,118.91753196716309
304,118.06751549243928
305,118.10370564460754
306,118.49251270294192
307,119.12120908498764
308,119.22253489494324
309,119.9911841750145
310,120.38001328706741
311,120.48192352056503
312,120.94349682331085
313,120.9166133403778
314,120.85184156894684
315,122.63675928115843
316,122.11866229772568
317,121.96086794137956
318,122.59936720132829
319,122.27524369955064
320,121.84037744998933
321,121.52664124965668
322,121.2303826212883
323,122.41440266370772
324,122.2946399450302
325,123.47821891307834
326,123.745818734169
327,124.29287225008014
328,124.63451743125914
329,123.65318208932878
330,123.13630908727646
331,124.06947910785676
332,123.7557539343834
333,123.20027589797974
334,121.77621215581894
335,120.96247404813766
336,120.17668902873991
337,119.62960243225098
338,119.86212581396104
339,119.27942246198654
340,119.67603653669356
341,119.47353929281236
342,119.9538251757622
343,119.29788142442705
344,118.85335564613342
345,118.93588066101074
346,119.04761582612991
347,118.85335564613342
348,119.51985210180284
349,119.98183339834212
350,119.47353929281236
351,119.44577366113664
352,118.35303395986556
353,119.44577366113664
354,120.41604906320572
355,120.85184156894684
356,121.08281016349792
357,120.70359647274017
358,120.76821386814115
